Qty,Value,Device,Package,Parts,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CHECK_PRICES,COPYRIGHT,DESCRIPTION,DIGI-KEY_PART_NUMBER_1,DIGI-KEY_PART_NUMBER_2,DIGI-KEY_PART_NUMBER_3,HEIGHT,JLCPCB,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MFR_NAME,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MP,PACKAGE,POPULARITY,PRICE,PROD_ID,PURCHASE-URL,SNAPEDA_LINK,SPICEMODEL,SPICEPREFIX,TP_SIGNAL_NAME,VALUE
1,2450AT18B100E_2450AT18B100E,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N,ANT1,"Antennas 2.45GHz ANTENNA",2450AT18B100E,https://www.arrow.com/en/products/2450at18b100e/johanson-dielectrics?utm_currency=USD&region=nac,,,,"Antennas 2.45GHz ANTENNA",,,,1.4mm,,"JOHANSON TECHNOLOGY",2450AT18B100E,,,609-2450AT18B100E,https://www.mouser.co.uk/ProductDetail/Johanson-Technology/2450AT18B100E?qs=yCnrNFeXz%252Bh5MFsFIXGZGA%3D%3D,,,,,,,,,,,
1,32.768kHz,NORDIC_NRF_1_XTAL_32KHZ,NORDIC_NRF_1_XTAL_3215_N,X1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32MHz,NORDIC_NRF_XTAL_32MHZ,NORDIC_NRF_BT-XTAL_2016_N,U$22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3K3,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201,"R10, R11","7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.7u,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402,C15,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,
6,4.7u,NORDIC_NRF_3_CAPACITOR_0201_L,NORDIC_NRF_3_RESC0201_L,"C18, C19, C34, C35, C36, U$20","Generic chip capacitor",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.7u/25V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402,C16,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,
2,47n,NORDIC_NRF_3_CAPACITOR_0201_L,NORDIC_NRF_3_RESC0201_L,"C20, C49","Generic chip capacitor",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,503480-2400_503480-2400,503480-2400_503480-2400,503480-2400_5034802400,J3,"FFC & FPC Connectors 0.5mm FPC RA SMT Dual Contact 24Ckt",,,,,,"FFC & FPC Connectors 0.5mm FPC RA SMT Dual Contact 24Ckt",,,,1.87mm,,Molex,503480-2400,,,538-503480-2400,https://www.mouser.co.uk/ProductDetail/Molex/503480-2400?qs=OAhjpuo3Vu7efIoxFh9AOw%3D%3D,,,,,,,,,,,
2,5K1,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201,"R8, R9","7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
